ID,Code,Country,StateCode,Longitude,Latitude,Fplat,Fplon,Active,Wright,Sync,Name,CityCode,LastModifiedDate
11205,GKK,MV,NULL,073.25.59E,00.43.51N,0.01275544795,1.281648599,0,0,0,Kooddoo,NULL,00:00.0
11206,HRI,LK,NULL,81.07.01.2E,06.17.24N,0.10978121,1.41575776,0,0,0,Mahinda Rajapakse Intl,NULL,00:00.0
11207,IWK,JP,NULL,132.14.39E,34.08.42N,0.5959426731,2.308096125,0,0,0,Iwakuni,NULL,00:00.0
11208,KHZ,PF,NULL,145.7.42W,15.46.50S,-0.2754226522,-0.2447533388,0,0,0,Kauehi,NULL,00:00.0
11210,OUQ,ES,NULL,07.51.50W,42.20.12N,0.7389142277,-0.1372507531,0,0,0,Ourense,NULL,00:00.0
11213,PZL,ZA,NULL,32.18.00E,27.52.00S,-0.4863650849,0.5637413484,0,0,0,Zulu Inyala,NULL,00:00.0
11214,LGV,ES,NULL,02.26.27W,42.27.28N,0.7410280153,-0.04260057816,0,0,0,Logrono Railway Station,NULL,00:00.0
11316,KYY,CN,NULL,084.52.15E,45.35.26N,0.795705,1.48128,0,0,0,KELAMAYI BUS STATION,NULL,00:00.0
11317,TQA,GL,NULL,056.03.37W,73.22.23N,1.2806,-0.978436,0,0,0,TASIUSSAQ HELIPORT,NULL,00:00.0
11318,ERQ,AU,QL,141.00.31E,20.58.36S,-0.366112,2.46106,0,0,0,,NULL,00:00.0
11319,FVS,RU,NULL,030.21.23E,59.57.20N,1.04642,0.529819,0,0,0,ST PETERSBURG,NULL,00:00.0
11320,BPO,CN,NULL,110.28.58E,19.08.17N,0.334022,1.92829,0,0,0,BO'AO RAIL STATION,NULL,00:00.0
11321,NIQ,GL,NULL,053.39.22W,07.47.20N,0.135942,-0.936476,0,0,0,NIAQORNAT,NULL,00:00.0
11322,VZK,TR,NULL,035.25.33E,37.00.08N,0.645811,0.618297,1,0,0,,NULL,00:00.0
11323,UXL,US,LA,093.22.34W,30.07.53N,0.525892,-1.62972,0,1,0,SULPHUR,NULL,00:00.0
11324,IKE,GL,NULL,051.18.11W,70.29.53N,1.23042,-0.895407,0,0,0,IKERASAK,NULL,00:00.0
11325,NSQ,GL,NULL,057.03.54W,74.06.35N,1.29346,-0.995972,0,0,0,NUUSSUAQ,NULL,00:00.0
11326,VDT,UY,NULL,056.10.00W,34.53.37S,-0.609008,-0.980293,0,0,0,MONTEVIDEO BUS STATION,NULL,00:00.0
11327,IOT,GL,NULL,053.33.20W,71.14.23N,1.24337,-0.934721,0,0,0,ILLORSUIT,NULL,00:00.0
11328,TGP,RU,NULL,089.58.46E,61.35.24N,1.07495,1.57044,0,0,0,BOR,NULL,00:00.0
11329,GIA,ES,NULL,002.49.01E,41.58.45N,0.732675,0.049165,0,0,0,GIRONA RAIL STATION,NULL,00:00.0
11330,PFE,ES,NULL,006.36.04W,42.33.10N,0.742686,-0.115211,0,0,0,PONFERRADA BUS STATION,NULL,00:00.0
11331,OVI,ES,NULL,005.51.17W,43.21.58N,0.756881,-0.102184,0,0,0,OVIEDO RAIL STATION,NULL,00:00.0
11332,THD,VN,NULL,105.28.09E,19.54.09N,0.347364,1.84078,0,0,0,THANH HOE,NULL,00:00.0
11333,TNW,EC,NULL,077.34.50W,01.03.37S,-0.0185053,-1.35404,0,0,0,TENA,NULL,00:00.0
11334,AFU,QA,NULL,051.18.54E,25.07.02N,0.438378,0.895616,1,0,0,AL UDEID AIR FORCE BASE,NULL,00:00.0
11335,WEC,CN,NULL,110.44.52E,19.33.46N,0.341435,1.93291,0,0,0,WENCHANG RAIL STATION,NULL,00:00.0
11336,OSF,RU,NULL,037.30.15E,55.30.27N,0.968789,0.654571,0,0,0,PODOLSK,NULL,00:00.0
11337,DQK,US,NY,075.43.59W,44.03.00N,0.768818,-1.32179,1,0,0,FORT DRUMMOND WHEELER SACS AIR FORCE BASE,NULL,00:00.0
11338,KHQ,GL,NULL,057.14.08W,74.34.46N,1.30166,-0.998949,0,0,0,KULLORSUAQ,NULL,00:00.0
11339,BYJ,PT,NULL,007.55.57W,38.04.44N,0.664602,-0.138448,0,0,0,BEJA,NULL,00:00.0
11340,DHO,CA,BC,122.15.28W,59.27.39N,1.03779,-2.1338,0,0,0,HORN RIVER,NULL,00:00.0
11341,TJJ,CN,NULL,117.13.32E,39.08.46N,0.683229,2.04597,0,0,0,TAINJIN BUS STATION,NULL,00:00.0
11342,NGY,JP,NULL,135.52.53E,35.10.14N,0.613842,2.37158,0,0,0,NAGOYA,NULL,00:00.0
11343,BQZ,ES,NULL,006.58.53W,38.53.26N,0.678768,-0.121848,0,0,0,BADAJOZ RAIL STATION,NULL,00:00.0
11344,NKW,IO,NULL,072.24.39E,07.18.47S,-0.127637,1.26381,1,0,0,DIEGO GARCIA,NULL,00:00.0
11345,TFA,PG,NULL,141.27.00E,05.06.00S,-0.0890118,2.46877,0,0,0,TILFALMIN,NULL,00:00.0
11346,GOW,CA,NT,079.15.00W,46.42.00N,0.815069,-1.38317,0,0,0,GARROW LAKE,NULL,00:00.0
11347,BXP,PL,NULL,023.08.37E,52.00.11N,0.907625,0.403932,0,0,0,BIALA PODLASKA,NULL,00:00.0
11348,CPJ,ES,NULL,000.02.53W,39.59.15N,0.697914,-0.000838728,0,0,0,CASTELLON DE LA PLANA RAIL STATION,NULL,00:00.0
11349,YRP,CA,ON,076.01.20W,45.19.09N,0.790969,-1.32684,1,0,0,OTTAWA,NULL,00:00.0
11350,ZUF,NZ,NULL,174.45.00E,36.50.00S,-0.642863,3.04996,0,0,0,AUCKLAND,NULL,00:00.0
11351,YIX,CA,NT,118.02.00W,66.05.00N,1.15337,-2.06007,0,0,0,PORT RADIUM,NULL,00:00.0
11352,CII,TR,NULL,027.53.14E,37.48.59N,0.66002,0.486724,0,0,0,AYDIN,NULL,00:00.0
11353,JZZ,BA,NULL,017.55.00E,46.23.00N,0.809542,0.312705,1,0,0,TASZAR,NULL,00:00.0
11354,TEJ,ES,NULL,001.06.37W,40.20.27N,0.70408,-0.019378,0,0,0,TERUEL RAIL STATION,NULL,00:00.0
